idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
21454-AAA-STL,Lars Nootbaar,STL,24,AAA,14,6.364,0.071,0.909,0.214,1.935,0.286,0.455,0.571,1.364,4,3,0,0,0.571,0.143,0.286,18,2022-06-01
sa3017426-A-OAK,Denzel Clarke,OAK,22,A,12,1.714,0.167,0.571,0.25,1.893,0.75,0.571,0.75,1.143,2,1,0,0,0.75,0.25,0.25,18,2022-06-01
sa3010399-A+-PIT,Matt Gorski,PIT,24,A+,30,1.448,0.333,0.966,0.033,1.745,0.2,0.379,0.4,1.345,10,9,0,0,0.3,0.1,0.7,18,2022-06-01
sa3010595-AA-NYY,Oliver Dunn,NYY,24,AA,18,1.059,0.278,0.588,0.056,1.673,0.7,0.529,0.556,1.118,5,2,2,0,0.3,0.4,0.2,18,2022-06-01
sa1170003-AA-TBR,Brett Wisely,TBR,23,AA,10,3.571,0.1,0.714,0.2,1.643,0.375,0.429,0.5,1.143,3,0,0,1,0.75,0.125,0.125,18,2022-06-01
16448-AAA-BAL,Jacob Nottingham,BAL,27,AAA,39,2.229,0.128,0.571,0.256,1.528,0.333,0.393,0.564,0.964,6,5,2,0,0.389,0.389,0.167,18,2022-06-01
18433-AAA-CHC,P.J. Higgins,CHC,29,AAA,13,1.773,0.077,0.273,0.077,1.524,0.583,0.636,0.615,0.909,3,0,0,0,0.25,0.333,0.417,18,2022-06-01
sa3010689-AA-DET,Kerry Carpenter,DET,24,AA,65,1.207,0.262,0.632,0.046,1.497,0.406,0.404,0.462,1.035,16,10,0,0,0.531,0.094,0.344,18,2022-06-01
sa3007976-AA-CHC,Levi Jordan,CHC,26,AA,50,2.179,0.1,0.436,0.16,1.432,0.433,0.436,0.56,0.872,9,4,1,1,0.367,0.367,0.267,18,2022-06-01
18425-AAA-CIN,Trey Amburgey,CIN,27,AAA,18,1.108,0.278,0.615,0.278,1.423,0.333,0.308,0.5,0.923,3,2,0,1,0.667,0.0,0.333,18,2022-06-01
sa3007516-AAA-OAK,Jonah Bride,OAK,26,AAA,23,3.833,0.043,0.333,0.043,1.422,0.526,0.524,0.565,0.857,5,1,0,0,0.263,0.526,0.263,18,2022-06-01
sa3017282-A-SFG,Vaun Brown,SFG,24,A,61,0.7,0.262,0.367,0.148,1.411,0.667,0.469,0.574,0.837,10,3,8,0,0.367,0.333,0.3,18,2022-06-01
21622-AAA-ARI,Jake McCarthy,ARI,24,AAA,21,inf,0.0,0.5,0.143,1.399,0.286,0.375,0.524,0.875,3,2,1,0,0.286,0.571,0.143,18,2022-06-01
19667-AAA-TEX,Zach Reks,TEX,28,AAA,37,0.997,0.243,0.485,0.108,1.396,0.5,0.424,0.486,0.909,8,4,0,0,0.35,0.4,0.35,18,2022-06-01
sa3010032-A-CLE,Will Bartlett,CLE,21,A,14,2.1,0.071,0.3,0.214,1.371,0.455,0.5,0.571,0.8,3,0,0,0,0.455,0.182,0.364,18,2022-06-01
22871-AA-PIT,Tucupita Marcano,PIT,22,AA,38,1.188,0.132,0.312,0.132,1.365,0.577,0.5,0.553,0.812,7,1,0,0,0.385,0.308,0.269,18,2022-06-01
sa3010336-A-COL,Trevor Boone,COL,24,A,30,1.09,0.3,0.654,0.133,1.362,0.25,0.308,0.4,0.962,7,5,1,0,0.75,0.167,0.167,18,2022-06-01
sa3010586-AA-MIN,Spencer Steer,MIN,24,AA,23,5.75,0.043,0.5,0.043,1.344,0.333,0.409,0.435,0.909,5,3,0,0,0.389,0.333,0.389,18,2022-06-01
sa3017662-A-ARI,Jordan Lawlar,ARI,19,A,31,0.554,0.323,0.357,0.097,1.338,0.706,0.464,0.516,0.821,5,1,3,1,0.059,0.529,0.412,18,2022-06-01
sa1115762-AAA-KCR,Vinnie Pasquantino,KCR,24,AAA,64,1.296,0.203,0.526,0.062,1.334,0.366,0.386,0.422,0.912,15,7,0,0,0.439,0.22,0.341,18,2022-06-01
sa3014448-A+-TEX,Trevor Hauver,TEX,23,A+,53,1.274,0.151,0.385,0.226,1.316,0.407,0.385,0.547,0.769,7,4,0,0,0.259,0.556,0.148,18,2022-06-01
sa1115778-AA-ARI,Dominic Fletcher,ARI,24,AA,17,0.759,0.235,0.357,0.176,1.315,0.556,0.429,0.529,0.786,3,1,0,0,0.111,0.222,0.444,18,2022-06-01
sa829756-AAA-TBR,Tristan Gray,TBR,26,AAA,50,0.833,0.32,0.533,0.08,1.309,0.409,0.356,0.42,0.889,10,7,2,1,0.409,0.409,0.136,18,2022-06-01
sa3003959-AAA-TOR,Cullen Large,TOR,26,AAA,31,1.052,0.194,0.407,0.129,1.299,0.444,0.407,0.484,0.815,5,3,3,0,0.556,0.389,0.056,18,2022-06-01
sa3007519-AA-PHI,Logan O'Hoppe,PHI,22,AA,65,3.281,0.062,0.404,0.154,1.296,0.333,0.385,0.508,0.788,9,6,1,0,0.524,0.357,0.119,18,2022-06-01
16042-AAA-CHW,Mark Payton,CHW,30,AAA,56,1.296,0.161,0.417,0.143,1.295,0.412,0.396,0.482,0.812,9,5,2,2,0.471,0.206,0.324,18,2022-06-01
15535-AAA-SEA,Joseph Odom,SEA,30,AAA,20,0.635,0.35,0.444,0.1,1.283,0.556,0.389,0.45,0.833,4,2,0,0,0.444,0.444,0.222,18,2022-06-01
sa3007028-AA-MIN,Chris Williams,MIN,25,AA,45,0.682,0.244,0.333,0.2,1.283,0.545,0.417,0.533,0.75,6,3,0,1,0.455,0.273,0.273,18,2022-06-01
sa738999-AA-CIN,Robbie Tenerowicz,CIN,27,AA,59,1.062,0.203,0.432,0.169,1.281,0.37,0.341,0.508,0.773,9,5,0,0,0.556,0.407,0.037,18,2022-06-01
sa3005581-A+-BOS,Ceddanne Rafaela,BOS,21,A+,48,0.739,0.25,0.37,0.042,1.263,0.562,0.435,0.458,0.804,10,2,2,0,0.281,0.406,0.312,18,2022-06-01
15482-AAA-CIN,Aristides Aquino,CIN,28,AAA,21,0.667,0.333,0.444,0.048,1.262,0.455,0.389,0.429,0.833,4,2,1,0,0.364,0.182,0.455,18,2022-06-01
sa913274-AAA-HOU,Corey Julks,HOU,26,AAA,60,1.228,0.2,0.491,0.05,1.26,0.368,0.368,0.4,0.86,12,7,1,0,0.368,0.368,0.289,18,2022-06-01
sa917288-AA-HOU,Enmanuel Valdez,HOU,23,AA,75,0.769,0.227,0.348,0.107,1.253,0.5,0.424,0.48,0.773,13,5,3,0,0.37,0.283,0.348,18,2022-06-01
sa873706-AAA-LAA,David MacKinnon,LAA,27,AAA,67,1.001,0.209,0.418,0.149,1.245,0.395,0.364,0.463,0.782,11,5,0,0,0.526,0.263,0.237,18,2022-06-01
sa3005271-AA-TEX,Ezequiel Duran,TEX,23,AA,52,2.196,0.096,0.422,0.115,1.242,0.342,0.378,0.442,0.8,11,4,2,0,0.395,0.395,0.237,18,2022-06-01
14553-AAA-SDP,Nomar Mazara,SDP,27,AAA,53,1.065,0.17,0.362,0.094,1.238,0.457,0.404,0.472,0.766,11,3,0,0,0.4,0.286,0.314,18,2022-06-01
sa917068-A+-COL,Daniel Montano,COL,23,A+,50,0.962,0.12,0.231,0.18,1.232,0.5,0.462,0.54,0.692,6,1,0,0,0.294,0.353,0.353,18,2022-06-01
sa3017215-A+-HOU,Quincy Hamilton,HOU,24,A+,24,0.545,0.25,0.273,0.083,1.227,0.6,0.455,0.5,0.727,4,1,0,1,0.4,0.4,0.267,18,2022-06-01
26288-A+-BAL,Adley Rutschman,BAL,24,A+,15,inf,0.0,0.231,0.133,1.226,0.462,0.462,0.533,0.692,3,0,0,0,0.231,0.385,0.385,18,2022-06-01
sa3009845-A-HOU,Kenedy Corona,HOU,22,A,61,1.22,0.164,0.4,0.098,1.224,0.385,0.382,0.443,0.782,10,6,2,1,0.462,0.436,0.128,18,2022-06-01
sa3007872-AA-LAD,Hunter Feduccia,LAD,25,AA,33,0.943,0.212,0.4,0.061,1.224,0.409,0.4,0.424,0.8,6,3,0,0,0.364,0.318,0.318,18,2022-06-01
sa3017040-A+-HOU,Chad Stevens,HOU,23,A+,54,1.148,0.148,0.34,0.056,1.223,0.432,0.42,0.463,0.76,7,5,3,2,0.324,0.432,0.243,18,2022-06-01
sa915614-AAA-LAA,Colby Fitch,LAA,26,AAA,17,0.708,0.294,0.417,0.059,1.221,0.375,0.333,0.471,0.75,2,1,0,0,0.375,0.25,0.375,18,2022-06-01
sa3010599-A+-DET,Jake Holton,DET,24,A+,51,1.328,0.157,0.417,0.216,1.212,0.261,0.306,0.49,0.722,5,5,0,0,0.391,0.435,0.087,18,2022-06-01
sa3007298-A+-PHI,Rixon Wingrove,PHI,22,A+,19,0.643,0.368,0.474,0.0,1.211,0.444,0.368,0.368,0.842,3,3,0,0,0.556,0.444,0.0,18,2022-06-01
sa1115829-AAA-BAL,Kyle Stowers,BAL,24,AAA,61,0.941,0.246,0.463,0.115,1.206,0.344,0.333,0.41,0.796,11,7,1,0,0.312,0.469,0.219,18,2022-06-01
sa3004972-A+-LAD,Imanol Vargas,LAD,24,A+,59,0.565,0.288,0.326,0.237,1.2,0.5,0.349,0.525,0.674,6,4,0,0,0.409,0.318,0.273,18,2022-06-01
sa872466-AA-PHI,Kevin Vicuna,PHI,24,AA,21,0.875,0.19,0.333,0.048,1.198,0.5,0.389,0.476,0.722,4,0,1,0,0.286,0.429,0.286,18,2022-06-01
sa3010696-A+-HOU,Colin Barber,HOU,21,A+,44,0.425,0.159,0.135,0.091,1.19,0.586,0.486,0.568,0.622,3,1,1,3,0.241,0.655,0.138,18,2022-06-01
sa1169587-A+-CIN,Rece Hinds,CIN,21,A+,57,0.526,0.263,0.277,0.158,1.19,0.567,0.404,0.509,0.681,7,2,3,0,0.3,0.4,0.333,18,2022-06-01
sa3014884-A+-ATL,Landon Stephens,ATL,24,A+,57,0.972,0.193,0.375,0.123,1.185,0.394,0.354,0.456,0.729,10,4,1,0,0.515,0.273,0.212,18,2022-06-01
sa918686-AA-SFG,Brandon Martorano,SFG,24,AA,57,0.758,0.246,0.373,0.07,1.184,0.455,0.373,0.439,0.745,9,4,0,0,0.485,0.333,0.182,18,2022-06-01
sa3004505-AA-TBR,Erik Ostberg,TBR,26,AA,19,0.891,0.316,0.562,0.158,1.181,0.143,0.25,0.368,0.812,3,3,0,0,0.857,0.0,0.143,18,2022-06-01
sa3010710-AA-PIT,Andres Alvarez,PIT,25,AA,44,1.117,0.205,0.457,0.136,1.181,0.24,0.314,0.409,0.771,6,5,3,0,0.52,0.36,0.04,18,2022-06-01
15654-AAA-OAK,Billy McKinney,OAK,27,AAA,62,0.842,0.21,0.353,0.177,1.174,0.394,0.353,0.468,0.706,8,5,1,0,0.424,0.242,0.333,18,2022-06-01
sa3004179-AAA-SDP,Matthew Batten,SDP,27,AAA,47,0.954,0.255,0.487,0.17,1.173,0.273,0.282,0.404,0.769,9,5,1,0,0.636,0.091,0.318,18,2022-06-01
sa3017338-A+-CHW,Terrell Tatum,CHW,22,A+,50,1.27,0.14,0.356,0.08,1.173,0.4,0.378,0.44,0.733,9,3,2,1,0.257,0.6,0.171,18,2022-06-01
sa3006889-A-LAA,D'Shawn Knowles,LAA,21,A,36,0.8,0.167,0.267,0.083,1.172,0.48,0.433,0.472,0.7,6,1,2,0,0.28,0.52,0.2,18,2022-06-01
sa511026-AAA-SDP,Aderlin Rodriguez,SDP,30,AAA,52,0.657,0.308,0.404,0.019,1.17,0.429,0.362,0.404,0.766,9,5,0,0,0.286,0.429,0.286,18,2022-06-01
14352-AAA-HOU,Lewis Brinson,HOU,28,AAA,57,0.796,0.281,0.447,0.123,1.169,0.333,0.319,0.404,0.766,9,6,0,0,0.407,0.444,0.111,18,2022-06-01
sa917196-A-MIL,Jose Sibrian,MIL,23,A,18,1.2,0.111,0.267,0.111,1.167,0.462,0.4,0.5,0.667,4,0,0,0,0.308,0.308,0.385,18,2022-06-01
19956-A-PHI,Mickey Moniak,PHI,24,A,13,0.65,0.231,0.3,0.0,1.162,0.444,0.4,0.462,0.7,2,0,0,0,0.444,0.222,0.222,18,2022-06-01
